[2025-12-27 22:03:39] ID=1 | SUCCESS | server -> system | startup | Server started
[2025-12-27 22:03:41] ID=2 | SUCCESS | tmp_5 -> server | connect | from 192.168.1.87:62714
[2025-12-27 22:03:41] ID=3 | SUCCESS | light_001 -> server | register | type=light
[2025-12-27 22:04:00] ID=4 | SUCCESS | tmp_6 -> server | connect | from 127.0.0.1:45600
[2025-12-27 22:04:00] ID=5 | SUCCESS | gtk_client -> server | login | authenticated
[2025-12-27 22:04:00] ID=6 | SUCCESS | gtk_client -> server | get_logs | 
[2025-12-27 22:04:11] ID=7 | SUCCESS | gtk_client -> server | list_devices | 
[2025-12-27 22:04:11] ID=8 | SUCCESS | gtk_client -> server | get_logs | 
[2025-12-27 22:04:24] ID=9 | SUCCESS | gtk_client -> light_001 | control | state=ON
[2025-12-27 22:04:27] ID=10 | SUCCESS | gtk_client -> light_001 | control | state=OFF
[2025-12-27 22:04:28] ID=11 | SUCCESS | gtk_client -> light_001 | control | state=ON
[2025-12-27 22:04:29] ID=12 | SUCCESS | gtk_client -> server | get_logs | 
[2025-12-27 22:04:39] ID=13 | SUCCESS | gtk_client -> light_001 | set_timer | timer#1 delay=10s state=OFF
[2025-12-27 22:04:48] ID=14 | SUCCESS | gtk_client -> light_001 | set_timer | timer#2 delay=10s state=OFF
[2025-12-27 22:04:49] ID=15 | SUCCESS | server -> light_001 | timer_execute | timer#1: OFF
[2025-12-27 22:04:50] ID=16 | SUCCESS | gtk_client -> server | get_logs | 
[2025-12-27 22:04:53] ID=17 | SUCCESS | gtk_client -> light_001 | set_timer | timer#3 delay=10s state=ON
[2025-12-27 22:04:55] ID=18 | SUCCESS | gtk_client -> server | get_logs | 
[2025-12-27 22:04:59] ID=19 | SUCCESS | server -> light_001 | timer_execute | timer#2: OFF
[2025-12-27 22:05:00] ID=20 | SUCCESS | gtk_client -> server | get_logs | 
[2025-12-27 22:05:04] ID=21 | SUCCESS | server -> light_001 | timer_execute | timer#3: ON
[2025-12-27 22:05:26] ID=22 | SUCCESS | gtk_client -> light_001 | set_timer | timer#4 delay=30s state=OFF
[2025-12-27 22:05:28] ID=23 | SUCCESS | gtk_client -> server | get_logs | 
[2025-12-27 22:05:59] ID=24 | SUCCESS | server -> light_001 | timer_execute | timer#4: OFF
[2025-12-27 22:06:12] ID=25 | SUCCESS | gtk_client -> server | disconnect | Connection closed
[2025-12-27 22:06:15] ID=26 | SUCCESS | server -> system | shutdown | Server stopping
